BIL,State,Education District,School Level,Type of School,School Code,School Name,Correspondence Address,Poscode,City,Urban/Rural,Gov/Gov Aided,Enrollment,N. of Teachers,PreSchool,Integration,X Cood,Y Cood,Student:Teacher Ratio
3510,Johor,Ppd Johor Bahru,Rendah,SK,JBA1050,Sekolah Kebangsaan Sungai Danga,Kampung Sungai Danga,81200,Johor Bahru,Bandar,Kerajaan,148.0,17.0,Ada,Tiada,103.691561222076,1.4672868751842,8.706
3511,Johor,Ppd Johor Bahru,Rendah,SK,JBA1051,Sekolah Kebangsaan Kampung Pulai,Kampung Pulai,81550,Gelang Patah,Bandar,Kerajaan,336.0,27.0,Ada,Tiada,103.567299842834,1.47673049784472,12.444
3512,Johor,Ppd Johor Bahru,Rendah,SK,JBA1054,Sekolah Kebangsaan Sri Tebrau,"Jalan Sutera, Taman Sentosa",80150,Johor Bahru,Bandar,Kerajaan,735.0,57.0,Ada,Ada,103.774774074554,1.49305966537121,12.895
3513,Johor,Ppd Johor Bahru,Rendah,SK,JBA1055,Sekolah Kebangsaan Kompleks Uda,"Jln Sekoi, Bandar Baru Uda",81200,Johor Bahru,Bandar,Kerajaan,976.0,75.0,Ada,Ada,103.713898658752,1.49291487525423,13.013
3514,Johor,Ppd Johor Bahru,Rendah,SK,JBA1056,Sekolah Kebangsaan Sri Amar,"Jalan Bawang, Taman Sri Amar",81100,Johor Bahru,Bandar,Kerajaan,639.0,49.0,Ada,Ada,103.759705424309,1.51682120245539,13.041
3515,Johor,Ppd Johor Bahru,Rendah,SK,JBA1057,Sekolah Kebangsaan Nong Chik,Jalan Nong Chik,80100,Johor Bahru,Bandar,Kerajaan,576.0,40.0,Ada,Tiada,103.737770318985,1.4662250684346,14.4
3516,Johor,Ppd Johor Bahru,Rendah,SK,JBA1059,Sekolah Kebangsaan Taman Pelangi,"Jkr 5183, Jln Kuning, Taman Pelangi",80400,Johor Bahru,Bandar,Kerajaan,400.0,32.0,Ada,Tiada,103.775659203529,1.48141743708123,12.5
3517,Johor,Ppd Johor Bahru,Rendah,SK,JBA1060,Sekolah Kebangsaan Taman Tun Aminah,"Jln Pahlawan 4, Taman Ungku Tun Aminah",81300,Skudai,Bandar,Kerajaan,434.0,43.0,Ada,Ada,103.667464256287,1.52214619644722,10.093
3518,Johor,Ppd Johor Bahru,Rendah,SK,JBA1061,Sekolah Kebangsaan Seri Melati,"Taman Melati,  Tampoi",81200,Johor Bahru,Bandar,Kerajaan,688.0,45.0,Ada,Tiada,103.698899745941,1.50736166422407,15.289
3519,Johor,Ppd Johor Bahru,Rendah,SK KHAS,JBA1062,Sekolah Kebangsaan Pendidikan Khas Johor Bahru,"Jkr 5739, Jln Pahlawan 17, Taman Ungku Tun Aminah",81300,Skudai,Bandar,Kerajaan,72.0,33.0,Ada,Tiada,103.652634,1.521722,2.182
